timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate_downlink,tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
0.0,5,1010123456002,74,1,2,8,1,0,10.0,17,0,0.028896,9,0,14.6667,5.22222,45,0,0.1,19,21.0526,0,10.5577,31,12,22,0,0,0,2.68889
0.25,5,1010123456002,74,1,2,8,1,0,14.7,10,0,0.017344,4,0,13.0,9.83333,30,0,0.1,11,36.3636,0,13.0861,31,11,16,0,0,0,4.66667
0.5,5,1010123456002,74,1,2,8,1,0,18.0,10,0,0.020608,4,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,11,16,0,0,0,0.0
0.75,5,1010123456002,74,1,2,8,1,0,18.0,7,0,0.015456,3,0,13.0,0.0,0,0,0.0,0,0.0,0,0.0,0,7,12,0,0,0,0.0
1.0,5,1010123456002,74,1,2,8,1,0,18.0,13,0,0.02576,5,0,14.1667,0.3,20,0,0.1,8,0.0,0,9.0451,31,14,20,0,0,0,1.0
1.25,5,1010123456002,74,1,2,8,1,0,18.0,18,0,0.041216,8,0,14.0,2.28571,7,0,0.1,3,0.0,0,11.8228,0,43,32,0,0,0,1.0
1.5,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,13.5,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
1.75,5,1010123456002,74,1,2,8,1,0,1.53571,28,0,0.011776,11,0,10.1667,0.0,0,0,0.0,0,0.0,0,0.0,0,39,76,0,0,0,0.0
2.0,5,1010123456002,74,1,2,8,1,0,4.15385,26,0,0.01648,10,0,11.0,0.642857,28,0,0.1,11,0.0,0,10.1686,31,20,68,0,0,0,1.0
2.25,5,1010123456002,74,1,2,8,1,0,18.0,10,0,0.020608,4,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,9,16,0,0,0,0.0
2.5,5,1010123456002,74,1,2,8,1,0,18.0,5,0,0.005152,1,0,13.5714,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
